No,No Tebu,No Ruas,kode,Jarak,Panjang,Drata,Keliling,Berat,Brix,Kelas
30,85,7,117307,0.499013158,8.5,3,9.7,7.411764706,17.2,1
31,85,8,117308,0.5625,10.8,2.75,9.3,7.037037037,16.9,1
32,85,9,117309,0.621052632,7,2.6,9,6.428571429,16.6,1
33,85,10,117310,0.679276316,10.7,2.7,9.5,7.009345794,16,1
34,85,11,117311,0.738815789,7.4,2.85,9.5,7.162162162,15,0
35,85,12,117312,0.795065789,9.7,2.65,9.3,6.701030928,14,0
36,85,13,117313,0.849342105,6.8,2.65,9,6.617647059,13,0
37,85,14,117314,0.902631579,9.4,2.7,8.5,6.063829787,11.6,0
38,85,15,117315,0.950986842,5.3,2.75,8.4,5.660377358,11,0
39,85,16,117316,1,9.6,2.25,7.5,4.6875,9.7,0
40,86,1,117401,0.036272486,12.3,3.25,9.9,6.341463415,18,1
41,86,2,117402,0.095252138,7.7,3.3,10,6.493506494,17.4,1
42,86,3,117403,0.150693011,11.1,3.3,10.2,6.666666667,18.4,1
43,86,4,117404,0.205249189,7.4,3.35,10.1,6.621621622,19,1
44,86,5,117405,0.258625774,10.7,3.25,10,6.261682243,18.9,1
45,86,6,117406,0.309053377,6.4,3.35,9.8,5.9375,19.2,1
46,86,7,117407,0.355352403,9.3,3.25,9.4,6.129032258,19.1,1
47,86,8,117408,0.402536125,6.7,3.4,10,0.611940299,19.1,1
48,86,9,117409,0.446475966,8.2,3.45,10.4,7.073170732,18.9,1
49,86,10,117410,0.490120908,6.6,3.35,10.3,7.424242424,19,1
50,86,11,117411,0.540843409,10.6,3.35,10,6.41509434,18.6,1
51,86,12,117412,0.596284282,8.2,3.15,9.9,5.853658537,18,1
52,86,13,117413,0.653494544,11.2,3.15,9.2,0.5625,17.4,1
53,86,14,117414,0.711589502,8.5,3.2,9.3,5.529411765,17,1
54,86,15,117415,0.767915069,10.6,3.2,9.8,6.509433962,15.8,0
55,86,16,117416,0.823945739,8.4,3.2,9.7,5.714285714,15.2,0
56,86,17,117417,0.884399882,12.1,3.15,9.2,5.619834711,14.5,0
57,86,18,117418,0.947213211,9.2,3.15,9.3,5.326086957,12.9,0
58,86,19,117419,1,8.7,3.05,9,4.942528736,10.2,0
59,87,1,117501,0.051844209,20.1,3,9.8,7.661691542,19.7,1
60,87,2,117502,0.144441579,15.8,2.9,9.2,6.835443038,15.8,0
61,87,3,117503,0.232912045,18.5,2.9,8.6,6.27027027,16,1
62,87,4,117504,0.314160433,13,2.85,9.9,6.461538462,16.1,1
63,87,5,117505,0.383286046,13.8,2.9,9.9,7.608695652,17.4,1
64,87,6,117506,0.44905855,11.7,2.9,9.5,7.606837607,14.8,0
65,87,7,117507,0.524374516,17.5,3.2,9.6,7.428571429,15.3,0
66,87,8,117508,0.590147021,8,3.05,9.5,12.75,15.3,0
67,87,9,117509,0.640959505,11.7,2.9,9.5,7.435897436,16,1
68,87,10,117510,0.710343049,15.2,2.95,9.4,7.171052632,14.2,0
69,87,11,117511,0.782047975,12.6,3,9.5,7.46031746,13,0
70,87,12,117512,0.856848078,16.4,3.1,9.4,7.43902439,12,0
71,87,13,117513,0.930874387,12.3,3,9.4,6.829268293,11,0
72,87,14,117514,1,14.5,2.7,8.9,6.275862069,9,0
73,88,1,117601,0.03069488,9.4,2.6,8.3,5.957446809,15.5,0
74,88,2,117602,0.082614943,6.5,2.7,8.5,6,15.6,0
75,88,3,117603,0.137147335,10.2,2.7,8.8,6.470588235,16.2,1
76,88,4,117604,0.193638976,7.1,2.75,9.1,6.61971831,16.2,1
77,88,5,117605,0.256008359,12,2.8,9.5,0.708333333,17.2,1
78,88,6,117606,0.319030825,7.3,2.75,9.4,7.397260274,17.1,1
79,88,7,117607,0.379179728,11.12,2.85,9.4,7.014388489,16.5,1
80,88,8,117608,0.437695925,6.8,2.85,9.2,6.911764706,16.6,1
81,88,9,117609,0.490922153,9.5,2.95,10.3,8.315789474,15.9,0
82,88,10,117610,0.548719958,8.2,3.05,9.9,7.804878049,16,1
83,88,11,117611,0.619579415,13.5,3,9.9,7.703703704,15.1,0
84,88,12,117612,0.696969697,10.2,3,9.6,6.960784314,13,0
85,88,13,117613,0.778278474,14.7,2.85,9.5,7.278911565,13.8,0
86,88,14,117614,0.853709509,8.4,3,9.6,7.142857143,14.2,0
87,88,15,117615,0.920977011,12.2,2.4,9.2,7.049180328,13,0
88,88,16,117616,1,12,2.7,8.9,6.083333333,11,0
89,89,1,117701,0.045519203,16,3.45,10.1,7.0625,16,1
90,89,2,117702,0.13257468,14.6,3.4,9.6,6.164383562,16.5,1
91,89,3,117703,0.226742532,18.5,3.2,9.3,5.513513514,17,1
92,89,4,117704,0.313798009,12.1,3.05,8.6,4.79338843,16.5,1
93,89,5,117705,0.385775249,13.2,2.95,8.6,4.772727273,17,1
94,89,6,117706,0.451778094,10,2.9,8,4.1,17.2,1
95,89,7,117707,0.515789474,12.5,3.1,8.6,4.8,16.9,1
96,89,8,117708,0.577809388,9.3,3,8.9,5.161290323,16,1
97,89,9,117709,0.646657183,14.9,2.95,8.8,4.899328859,16,1
98,89,10,117710,0.722332859,11.7,3.1,9.1,5.299145299,15.3,0
99,89,11,117711,0.79715505,14.6,3,8.8,5,14.9,0
100,89,12,117712,0.869416785,10.8,3,8.6,4.814814815,15.2,0
101,89,13,117713,0.93428165,12,2.95,8.6,4.75,14.7,0
102,89,14,117714,1,11.1,2.8,8.2,4.324324324,13.5,0
103,90,1,117801,0.038470346,16.8,3.85,11.3,9.464285714,18.6,1
104,90,2,117802,0.111976185,15.3,4,11.5,9.150326797,17.5,1
105,90,3,117803,0.191435768,19.4,3.85,11,8.608247423,18,1
106,90,4,117804,0.269750401,14.8,3.75,10.6,8.040540541,18.3,1
107,90,5,117805,0.336844516,14.5,3.5,9.9,6.896551724,18.4,1
108,90,6,117806,0.397526906,12,3.45,9.4,5.916666667,18.2,1
109,90,7,117807,0.455461415,13.3,3.4,9.3,6.766917293,18,1
110,90,8,117808,0.506526219,9,3.45,10.9,7.666666667,17.9,1
111,90,9,117809,0.56652164,17.2,3.9,10.5,7.965116279,16.9,1
112,90,10,117810,0.648958095,18.8,3.5,10.2,7.553191489,15.5,0
113,90,11,117811,0.717655141,11.2,3.5,10.2,6.964285714,14,0
114,90,12,117812,0.770780856,12,3.25,9.8,6.5,13.8,0
115,90,13,117813,0.818410808,8.8,3.4,9.8,6.590909091,14.4,0
116,90,14,117814,0.874055416,15.5,3.45,9.4,6.322580645,13,0
117,90,15,117815,0.937027708,12,3.25,9,5.25,12.5,0
118,90,16,117816,1,15.5,3.1,8.1,4.709677419,12,0
119,91,1,117901,0.040129712,19.8,4.05,11.7,9.949494949,17.8,1
120,91,2,117902,0.114308877,16.8,3.9,11.5,8.154761905,17.4,1
121,91,3,117903,0.186461289,18.8,3.65,11.3,9.255319149,17,1
122,91,4,117904,0.253546818,14.3,3.75,11.4,8.671328671,16.9,1
123,91,5,117905,0.317794893,17.4,3.8,10.5,8.218390805,16.7,1
124,91,6,117906,0.375152006,10.9,3.75,10.9,8.440366972,16.6,1
125,91,7,117907,0.427239562,14.8,3.75,11,8.716216216,16.4,1
126,91,8,117908,0.484394001,13.4,3.75,10.7,8.358208955,16.2,1
127,91,9,117909,0.547831374,17.9,3.85,10.9,8.882681564,16.2,1
128,91,10,117910,0.609039319,12.3,3.7,11,8.780487805,16,1
129,91,11,117911,0.669233887,17.4,3.75,10.9,8.735632184,15.2,0
130,91,12,117912,0.727199027,11.2,3.6,10.8,8.214285714,15,0
131,91,13,117913,0.782124037,15.9,3.65,10.6,8.490566038,14,0
132,91,14,117914,0.838265099,11.8,3.8,11.2,8.898305085,13.5,0
133,91,15,117915,0.894000811,15.7,3.8,11.5,9.808917197,12.4,0
134,91,16,117916,1,11,3.9,11.9,9.454545455,11.4,0
135,92,1,118001,0.031390135,14,2.7,8.2,5.642857143,15.8,0
136,92,2,118002,0.085201794,10,2.75,9.7,5.9,17.1,1
137,92,3,118003,0.143497758,16,2.75,9.2,6.0625,18.3,1
138,92,4,118004,0.210986547,14.1,2.75,8.5,6.09929078,18.4,1
139,92,5,118005,0.282735426,17.9,2.65,8.5,5.865921788,18.3,1
140,92,6,118006,0.353587444,13.7,2.45,8.1,5.474452555,10.4,0
141,92,7,118007,0.419058296,15.5,2.5,8,5.225806452,18.8,1
142,92,8,118008,0.479596413,11.5,2.5,7.8,4.695652174,18.4,1
143,92,9,118009,0.533408072,12.5,2.55,8.9,6.08,19.2,1
144,92,10,118010,0.585650224,10.8,2.7,8.5,6.111111111,18.2,1
145,92,11,118011,0.64058296,13.7,2.8,9,6.423357664,18,1
146,92,12,118012,0.693721973,10,2.75,9,6.7,17,1
147,92,13,118013,0.745515695,13.1,2.85,9,7.022900763,16.2,1
148,92,14,118014,0.794843049,8.9,2.8,9.2,6.629213483,15,0
149,92,15,118015,0.843049327,12.6,2.85,9.4,6.904761905,14.4,0
150,92,16,118016,0.894843049,10.5,2.95,9.3,6.952380952,13.1,0
151,92,17,118017,0.947533632,13,2.75,9.5,7.076923077,11,0
152,92,18,118018,1,10.4,2.8,9.1,6.153846154,9.6,0
153,93,1,118101,0.029090909,10.4,3.4,9.4,6.442307692,15.2,0
154,93,2,118102,0.081118881,8.2,3.3,9.4,9.756097561,14.7,0
155,93,3,118103,0.138741259,12.4,3.35,10,7.096774194,18,1
156,93,4,118104,0.20027972,9.6,3.35,9.7,6.25,17.6,1
157,93,5,118105,0.268251748,14.7,3.25,9.3,5.986394558,18,1
158,93,6,118106,0.327832168,6.6,3.15,9.3,5.757575758,19,1
159,93,7,118107,0.37986014,12,3.15,9.3,6,18.7,1
160,93,8,118108,0.439440559,9.3,3,9.1,5.268817204,17.6,1
161,93,9,118109,0.493986014,10.2,3.05,8.8,5.196078431,16,1
162,93,10,118110,0.548531469,9.3,2.9,8.4,4.731182796,16,1
163,93,11,118111,0.595524476,7.5,3,8.6,4.933333333,15.3,0
164,93,12,118112,0.652307692,12.8,3.05,8.7,5.234375,16.5,1
165,93,13,118113,0.718881119,11,2.95,8.9,5.272727273,16.4,1
166,93,14,118114,0.774825175,9,3,8.7,4.666666667,16.2,1
167,93,15,118115,0.822377622,8,2.75,8.3,4.375,16.1,1
168,93,16,118116,0.876363636,11.3,2.8,8.4,4.601769912,14.5,0
169,93,17,118117,0.94013986,11.5,2.75,8.7,4.260869565,14,0
170,93,18,118118,1,9.9,2.75,7.3,3.03030303,14,0
171,94,1,118201,0.02152231,8.2,2.45,8.9,6.829268293,17.2,1
172,94,2,118202,0.082939633,15.2,2.5,9,6.513157895,18,1
173,94,3,118203,0.148818898,9.9,2.65,9,6.363636364,17.6,1
174,94,4,118204,0.214698163,15.2,2.6,9,6.578947368,18.3,1
175,94,5,118205,0.284251969,11.3,2.55,9,6.460176991,19.1,1
176,94,6,118206,0.352230971,14.6,2.65,8.8,6.438356164,19,1
177,94,7,118207,0.413648294,8.8,2.5,9,6.477272727,18,1
178,94,8,118208,0.466666667,11.4,2.6,9.2,6.842105263,17.2,1
179,94,9,118209,0.520209974,9,2.55,8.5,6.222222222,16.9,1
180,94,10,118210,0.571128609,10.4,2.65,9.5,7.692307692,16.5,1
181,94,11,118211,0.616535433,6.9,2.95,10,8.115942029,16,1
182,94,12,118212,0.666929134,12.3,2.75,9.8,8.048780488,15.6,0
183,94,13,118213,0.723622047,9.3,2.7,9.9,7.634408602,15.8,0
184,94,14,118214,0.782152231,13,2.7,9.7,7.692307692,15,0
185,94,15,118215,0.840944882,9.4,2.8,9.9,7.659574468,14.5,0
186,94,16,118216,0.894225722,10.9,2.7,10,7.706422018,13.9,0
187,94,17,118217,0.945144357,8.5,2.65,9.7,7.176470588,13,0
188,94,18,118218,1,12.4,2.6,9.5,6.451612903,12.3,0
189,95,1,118301,0.053231939,19.6,3.8,11.8,9.846938776,18.4,1
190,95,2,118302,0.146659424,14.8,3.55,11.1,8.445945946,18.2,1
191,95,3,118303,0.229766431,15.8,3.5,10.3,7.594936709,18.6,1
192,95,4,118304,0.303367735,11.3,3.45,9.8,6.814159292,18.9,1
193,95,5,118305,0.368006518,12.5,3.45,11.3,8.4,19,1
194,95,6,118306,0.435632808,12.4,3.45,10.6,7.983870968,17.9,1
195,95,7,118307,0.511135253,15.4,3.5,10.7,8.116883117,17.6,1
196,95,8,118308,0.584464965,11.6,3.7,10.9,8.362068966,17.3,1
197,95,9,118309,0.65480717,14.3,4.6,10.9,8.531468531,17,1
198,95,10,118310,0.721075502,10.1,3.55,10.7,8.01980198,16.2,1
199,95,11,118311,0.784356328,13.2,3.5,10.8,8.257575758,15.9,0
200,95,12,118312,0.843834872,8.7,3.45,10.2,7.126436782,14.4,0
201,95,13,118313,0.888104291,7.6,3.3,10.2,6.578947368,12,0
202,95,14,118314,0.94133623,12,3.45,10.2,7,11,0
203,95,15,118315,1,9.6,3.4,9.8,6.458333333,9.2,0
204,96,1,118401,0.020037358,11.8,3.1,10.2,6.779661017,14.6,0
205,96,2,118402,0.054168789,8.3,3.2,9.8,5.903614458,13.8,0
